filename.variablename	condition 	variable type	subtype 
LDDLactwbsl.out.wakD2	bsl	state	distribution
LDDLactwbsl.out.wakLD	bsl	state	distribution
LDDLactwbsl.out.wakDL	bsl	state	distribution
LDDLactwbsl.out.actL1	bsl	activity	distribution
LDDLactwbsl.out.actL2	bsl	activity	distribution
LDDLactwbsl.out.actD1	bsl	activity	distribution
LDDLactwbsl.out.actD2	bsl	activity	distribution
LDDLactwbsl.out.actLD	bsl	activity	distribution
LDDLactwbsl.out.actDL	bsl	activity	distribution
BXDsleepepisodesSD.out.num_sleep	SD	state	architecture
BXDsleepepisodesSD.out.dur_sleep	SD	state	architecture
BXDseizures.out.num_seizur	bsl	EEG	paroxismal
BXDseizures.out.dur_seizur	bsl	EEG	paroxismal
BXDspindles.out.num_Wspin	bsl	EEG	paroxismal
BXDspindles.out.dur_Wspin	bsl	EEG	paroxismal
BXDspindles.out.num_Nspin	bsl	EEG	paroxismal
BXDspindles.out.dur_Nspin	bsl	EEG	paroxismal
BXDspindles.out.num_Rspin	bsl	EEG	paroxismal
BXDspindles.out.dur_Rspin	bsl	EEG	paroxismal
BXD_NR-ratio.out.ratLb	bsl	state	amount
BXD_NR-ratio.out.ratDb	bsl	state	amount
BXD_NR-ratio.out.rat24b	bsl	state	amount
BXD_NR-ratio.out.ratLr	rec	state	amount
BXD_NR-ratio.out.ratDr	rec	state	amount
BXD_NR-ratio.out.rat18r	rec	state	amount
BXD_NR-ratio.out.ratLbr	rec vs bsl	state	amount
BXD_NR-ratio.out.ratDbr	rec vs bsl	state	amount
BXD_NR-ratio.out.rat24br	rec vs bsl	state	amount
BXD_TDWh.out.TDW_Lbh	bsl	state	amount
BXD_TDWh.out.TDW_Lb.	bsl	state	amount
BXD_TDWh.out.TDW_Dbh	bsl	state	amount
BXD_TDWh.out.TDW_Db.	bsl	state	amount
BXD_TDWh.out.TDW_SDh	SD	state	amount
BXD_TDWh.out.TDW_SD.	SD	state	amount
BXD_TDWh.out.TDW_Lrh	rec	state	amount
BXD_TDWh.out.TDW_Lr.	rec	state	amount
BXD_TDWh.out.TDW_Drh	rec	state	amount
BXD_TDWh.out.TDW_Dr.	rec	state	amount
BXD_TDWh.out.TDW_Drb.	rec vs bsl	state	amount
BXD_PS_tpf.out.TPF_Lb	bsl	EEG	frequency
BXD_PS_tpf.out.TPF_Lr1	rec	EEG	frequency
BXD_PS_tpf.out.TPF_Lr2	rec	EEG	frequency
BXD_PS_tpf.out.TPF_L1d	rec vs bsl	EEG	frequency
BXD_PS_tpf.out.TPF_L2d	rec vs bsl	EEG	frequency
BXD_TDW_tpf.out.TPF_Db	bsl	EEG	frequency
BXD_TDW_tpf.out.TPF_Dr1	rec	EEG	frequency
BXD_TDW_tpf.out.TPF_Dr2	rec	EEG	frequency
BXD_TDW_tpf.out.TPF_r1d	rec vs bsl	EEG	frequency
BXD_TDW_tpf.out.TPF_r2d	rec vs bsl	EEG	frequency
BXD_TDW_tpf.out.TPF_SD	SD	EEG	frequency
BXD_POG.out.Min_Ph_w	bsl	state	distribution
BXD_POG.out.Max_Ph_w	bsl	state	distribution
BXD_POG.out.Max_Amp_w	bsl	state	distribution
BXD_POG.out.Min_Ph_n	bsl	state	distribution
BXD_POG.out.Max_Ph_n	bsl	state	distribution
BXD_POG.out.Max_Amp_n	bsl	state	distribution
BXD_POG.out.Min_Ph_r	bsl	state	distribution
BXD_POG.out.Max_Ph_r	bsl	state	distribution
BXD_POG.out.Max_Amp_r	bsl	state	distribution
BXD_INOUT.out.w_w	bsl	state	architecture
BXD_INOUT.out.w_n	bsl	state	architecture
BXD_INOUT.out.w_r	bsl	state	architecture
BXD_INOUT.out.n_w	bsl	state	architecture
BXD_INOUT.out.n_n	bsl	state	architecture
BXD_INOUT.out.n_r	bsl	state	architecture
BXD_INOUT.out.r_w	bsl	state	architecture
BXD_INOUT.out.r_n	bsl	state	architecture
BXD_INOUT.out.r_r	bsl	state	architecture
BXD_num_ep_bsl.out.w	bsl	state	architecture
BXD_num_ep_bsl.out.w.h	bsl	state	architecture
BXD_num_ep_bsl.out.w_dur	bsl	state	architecture
BXD_num_ep_bsl.out.n	bsl	state	architecture
BXD_num_ep_bsl.out.n.h	bsl	state	architecture
BXD_num_ep_bsl.out.n_dur	bsl	state	architecture
BXD_num_ep_bsl.out.r	bsl	state	architecture
BXD_num_ep_bsl.out.r.h	bsl	state	architecture
BXD_num_ep_bsl.out.r_dur	bsl	state	architecture
BXD_nBA.out.nBA	bsl	state	architecture
BXD_nBA.out.nBS	bsl	state	architecture
BXD_nBA.out.nLS	bsl	state	architecture
BXD_nBAbslrec.out.nBArec	rec	state	architecture
BXD_nBAbslrec.out.nBSrec	rec	state	architecture
BXD_nBAbslrec.out.nBAbsl	bsl	state	architecture
BXD_nBAbslrec.out.nBAref	bsl	state	architecture
BXD_nBAbslrec.out.nBAbd	bsl	state	architecture
BXD_nBAbslrec.out.nBSbsl	bsl	state	architecture
BXD_nBAbslrec.out.nBSref	bsl	state	architecture
BXD_nBAbslrec.out.nBSbd	bsl	state	architecture
BXD_nBAbslrec.out.nBArd	rec vs bsl	state	architecture
BXD_nBAbslrec.out.nBSrd	rec vs bsl	state	architecture
BXDactrec.out.actR1D	rec	activity	amount
BXDactrec.out.actR1Dr	rec	activity	amount
BXDactrec.out.actR2L	rec	activity	amount
BXDactrec.out.actR2Lr	rec	activity	amount
BXDactrec.out.actR2D	rec	activity	amount
BXDactrec.out.actR2Dr	rec	activity	amount
BXDactrec.out.actR1D.b	rec vs bsl	activity	amount
BXDactrec.out.actR1Dr.b	rec vs bsl	activity	amount
BXDactrec.out.actR2L.b	rec vs bsl	activity	amount
BXDactrec.out.actR2Lr.b	rec vs bsl	activity	amount
BXDactrec.out.actR2D.b	rec vs bsl	activity	amount
BXDactrec.out.actR2Dr.b	rec vs bsl	activity	amount
BXD_longW.out.longW.	bsl	state	architecture
BXD_longW.out.longW	bsl	state	architecture
BXD_EEGref.out.refall	bsl	EEG	power
BXD_EEGref.out.refw	bsl	EEG	power
