Sample_geo_accession	Sample Title	condition	genotype	tissue
GSM3151575	L49nsd_Liver_Control	Control	BXD/RwwJ 49	Liver
GSM3151576	L49sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 49	Liver
GSM3151577	L50nsd_Liver_Control	Control	BXD/RwwJ 50	Liver
GSM3151578	L50sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 50	Liver
GSM3151579	L51nsd_Liver_Control	Control	BXD/RwwJ 51	Liver
GSM3151580	L51sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 51	Liver
GSM3151581	L55nsd_Liver_Control	Control	BXD/RwwJ 55	Liver
GSM3151582	L55sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 55	Liver
GSM3151583	L56nsd_Liver_Control	Control	BXD/RwwJ 56	Liver
GSM3151584	L56sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 56	Liver
GSM3151585	L61nsd_Liver_Control	Control	BXD/RwwJ 61	Liver
GSM3151586	L61sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 61	Liver
GSM3151587	L64nsd_Liver_Control	Control	BXD/RwwJ 64	Liver
GSM3151588	L64sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 64	Liver
GSM3151589	L65nsd_Liver_Control	Control	BXD/RwwJ 65	Liver
GSM3151590	L65sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 65	Liver
GSM3151591	L66nsd_Liver_Control	Control	BXD/RwwJ 66	Liver
GSM3151592	L66sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 66	Liver
GSM3151593	L67nsd_Liver_Control	Control	BXD/RwwJ 67	Liver
GSM3151594	L67sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 67	Liver
GSM3151595	L70nsd_Liver_Control	Control	BXD/RwwJ 70	Liver
GSM3151596	L70sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 70	Liver
GSM3151597	L71nsd_Liver_Control	Control	BXD/RwwJ 71	Liver
GSM3151598	L71sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 71	Liver
GSM3151599	L73nsd_Liver_Control	Control	BXD/RwwJ 73	Liver
GSM3151600	L73sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 73	Liver
GSM3151601	L75nsd_Liver_Control	Control	BXD/RwwJ 75	Liver
GSM3151602	L75sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 75	Liver
GSM3151603	L79nsd_Liver_Control	Control	BXD/RwwJ 79	Liver
GSM3151604	L79sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 79	Liver
GSM3151605	L81nsd_Liver_Control	Control	BXD/RwwJ 81	Liver
GSM3151606	L81sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 81	Liver
GSM3151607	L83nsd_Liver_Control	Control	BXD/RwwJ 83	Liver
GSM3151608	L83sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 83	Liver
GSM3151609	L84nsd_Liver_Control	Control	BXD/RwwJ 84	Liver
GSM3151610	L84sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 84	Liver
GSM3151611	L85nsd_Liver_Control	Control	BXD/RwwJ 85	Liver
GSM3151612	L85sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 85	Liver
GSM3151613	L87nsd_Liver_Control	Control	BXD/RwwJ 87	Liver
GSM3151614	L87sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 87	Liver
GSM3151615	L89nsd_Liver_Control	Control	BXD/RwwJ 89	Liver
GSM3151616	L89sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 89	Liver
GSM3151617	L90nsd_Liver_Control	Control	BXD/RwwJ 90	Liver
GSM3151618	L90sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 90	Liver
GSM3151619	L95nsd_Liver_Control	Control	BXD/RwwJ 95	Liver
GSM3151620	L95sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 95	Liver
GSM3151621	L96nsd_Liver_Control	Control	BXD/RwwJ 48a (96)	Liver
GSM3151622	L96sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 48a (96)	Liver
GSM3151623	L97nsd_Liver_Control	Control	BXD/RwwJ 65a (97)	Liver
GSM3151624	L97sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 65a (97)	Liver
GSM3151625	L98nsd_Liver_Control	Control	BXD/RwwJ 98	Liver
GSM3151626	L98sd_Liver_SleepDeprived	Sleep Deprived	BXD/RwwJ 98	Liver
GSM3151627	LB61nsd_Liver_Control	Control	C57BL/6J	Liver
GSM3151628	LB61sd_Liver_SleepDeprived	Sleep Deprived	C57BL/6J	Liver
GSM3151629	LB62nsd_Liver_Control	Control	C57BL/6J	Liver
GSM3151630	LB62sd_Liver_SleepDeprived	Sleep Deprived	C57BL/6J	Liver
GSM3151631	LBDnsd_Liver_Control	Control	C57/BL/J x DBA/2J F1	Liver
GSM3151632	LBDsd_Liver_SleepDeprived	Sleep Deprived	C57/BL/J x DBA/2J F1	Liver
GSM3151633	LDB1nsd_Liver_Control	Control	DBA/2J	Liver
GSM3151634	LDB1sd_Liver_SleepDeprived	Sleep Deprived	DBA/2J	Liver
GSM3151635	LDB2nsd_Liver_Control	Control	DBA/2J	Liver
GSM3151636	LDB2sd_Liver_SleepDeprived	Sleep Deprived	DBA/2J	Liver
GSM3151637	LDBnsd_Liver_Control	Control	DBA/2J x C57/BL/J F1	Liver
GSM3151638	LDBsd_Liver_SleepDeprived	Sleep Deprived	DBA/2J x C57/BL/J F1	Liver
