"","Strain","Mice_ID","Delivery_Date","Shipment","Birth_date","Experiment_date","3_Weeks_lag","Age_min_sd","Age_max_sd","Age","Treatment","Sample","Group"
"4-BXD65a-139","65a","4-BXD65a-139","31.01.2020",4,"26.11.2019","mardi, 25 février 2020","21.02.2020","18.02.2020","09.03.2020",13,"SD","139","65a_SD"
"4-BXD98-140","BXD98","4-BXD98-140","31.01.2020",4,"26.11.2019","lundi, 24 février 2020","21.02.2020","18.02.2020","09.03.2020",12.85714286,"CTRL","140","BXD98_CTRL"
"4-BXD98-141","BXD98","4-BXD98-141","31.01.2020",4,"26.11.2019","mardi, 25 février 2020","21.02.2020","18.02.2020","09.03.2020",13,"SD","141","BXD98_SD"
"4-BXD101-142","BXD101","4-BXD101-142","31.01.2020",4,"19.11.2019","lundi, 24 février 2020","21.02.2020","11.02.2020","02.03.2020",13.85714286,"CTRL","142","BXD101_CTRL"
"4-BXD101-143","BXD101","4-BXD101-143","31.01.2020",4,"19.11.2019","mardi, 25 février 2020","21.02.2020","11.02.2020","02.03.2020",14,"SD","143","BXD101_SD"
"4-BXD73b-144","73b","4-BXD73b-144","31.01.2020",4,"03.12.2019","lundi, 2 mars 2020","21.02.2020","25.02.2020","16.03.2020",12.85714286,"CTRL","144","73b_CTRL"
"4-BXD73b-145","73b","4-BXD73b-145","31.01.2020",4,"03.12.2019","mardi, 3 mars 2020","21.02.2020","25.02.2020","16.03.2020",13,"SD","145","73b_SD"
"4-C57Bl6-146","C57Bl6","4-C57Bl6-146","31.01.2020",4,"03.12.2019","lundi, 2 mars 2020","21.02.2020","25.02.2020","16.03.2020",12.85714286,"CTRL","146","C57Bl6_CTRL"
"4-C57Bl6-147","C57Bl6","4-C57Bl6-147","31.01.2020",4,"03.12.2019","mardi, 3 mars 2020","21.02.2020","25.02.2020","16.03.2020",13,"SD","147","C57Bl6_SD"
"5-BXD43-148","BXD43","5-BXD43-148","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","148","BXD43_CTRL"
"5-BXD43-149","BXD43","5-BXD43-149","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","149","BXD43_SD"
"5-BXD45-150","BXD45","5-BXD45-150","13.02.2020",5,"24.12.2019","lundi, 23 mars 2020","05.03.2020","17.03.2020","06.04.2020",12.85714286,"CTRL","150","BXD45_CTRL"
"5-BXD45-151","BXD45","5-BXD45-151","13.02.2020",5,"24.12.2019","mardi, 24 mars 2020","05.03.2020","17.03.2020","06.04.2020",13,"SD","151","BXD45_SD"
"5-BXD48-152","BXD48","5-BXD48-152","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","152","BXD48_CTRL"
"5-BXD48-153","BXD48","5-BXD48-153","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","153","BXD48_SD"
"5-BXD50-154","BXD50","5-BXD50-154","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","154","BXD50_CTRL"
"5-BXD50-155","BXD50","5-BXD50-155","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","155","BXD50_SD"
"5-BXD61-156","BXD61","5-BXD61-156","13.02.2020",5,"17.12.2019","lundi, 9 mars 2020","05.03.2020","10.03.2020","30.03.2020",11.85714286,"CTRL","156","BXD61_CTRL"
"5-BXD61-157","BXD61","5-BXD61-157","13.02.2020",5,"17.12.2019","mardi, 10 mars 2020","05.03.2020","10.03.2020","30.03.2020",12,"SD","157","BXD61_SD"
"5-BXD64-158","BXD64","5-BXD64-158","13.02.2020",5,"17.12.2019","lundi, 23 mars 2020","05.03.2020","10.03.2020","30.03.2020",13.85714286,"CTRL","158","BXD64_CTRL"
"5-BXD64-159","BXD64","5-BXD64-159","13.02.2020",5,"17.12.2019","mardi, 24 mars 2020","05.03.2020","10.03.2020","30.03.2020",14,"SD","159","BXD64_SD"
"5-BXD65-160","BXD65","5-BXD65-160","13.02.2020",5,"07.01.2020","mercredi, 8 avril 2020","05.03.2020","31.03.2020","20.04.2020",13.14285714,"CTRL","160","BXD65_CTRL"
"5-BXD65-161","BXD65","5-BXD65-161","13.02.2020",5,"07.01.2020","jeudi, 9 avril 2020","05.03.2020","31.03.2020","20.04.2020",13.28571429,"SD","161","BXD65_SD"
"5-BXD67-162","BXD67","5-BXD67-162","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","162","BXD67_CTRL"
"5-BXD67-163","BXD67","5-BXD67-163","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","163","BXD67_SD"
"5-BXD70-164","BXD70","5-BXD70-164","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","164","BXD70_CTRL"
"5-BXD70-165","BXD70","5-BXD70-165","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","165","BXD70_SD"
"5-BXD79-166","BXD79","5-BXD79-166","13.02.2020",5,"10.12.2019","lundi, 9 mars 2020","05.03.2020","03.03.2020","23.03.2020",12.85714286,"CTRL","166","BXD79_CTRL"
"5-BXD79-167","BXD79","5-BXD79-167","13.02.2020",5,"10.12.2019","mardi, 10 mars 2020","05.03.2020","03.03.2020","23.03.2020",13,"SD","167","BXD79_SD"
"5-BXD81-168","BXD81","5-BXD81-168","13.02.2020",5,"10.12.2019","lundi, 9 mars 2020","05.03.2020","03.03.2020","23.03.2020",12.85714286,"CTRL","168","BXD81_CTRL"
"5-BXD81-169","BXD81","5-BXD81-169","13.02.2020",5,"10.12.2019","mardi, 10 mars 2020","05.03.2020","03.03.2020","23.03.2020",13,"SD","169","BXD81_SD"
"5-BXD85-170","BXD85","5-BXD85-170","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","170","BXD85_CTRL"
"5-BXD85-171","BXD85","5-BXD85-171","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","171","BXD85_SD"
"5-BXD89-174","BXD89","5-BXD89-174","13.02.2020",5,"17.12.2019","lundi, 9 mars 2020","05.03.2020","10.03.2020","30.03.2020",11.85714286,"CTRL","174","BXD89_CTRL"
"5-BXD89-175","BXD89","5-BXD89-175","13.02.2020",5,"17.12.2019","mardi, 10 mars 2020","05.03.2020","10.03.2020","30.03.2020",12,"SD","175","BXD89_SD"
"5-BXD90-176","BXD90","5-BXD90-176","13.02.2020",5,"17.12.2019","lundi, 16 mars 2020","05.03.2020","10.03.2020","30.03.2020",12.85714286,"CTRL","176","BXD90_CTRL"
"5-BXD90-177","BXD90","5-BXD90-177","13.02.2020",5,"17.12.2019","mardi, 17 mars 2020","05.03.2020","10.03.2020","30.03.2020",13,"SD","177","BXD90_SD"
"5-BXD95-178","BXD95","5-BXD95-178","13.02.2020",5,"10.12.2019","lundi, 9 mars 2020","05.03.2020","03.03.2020","23.03.2020",12.85714286,"CTRL","178","BXD95_CTRL"
"5-BXD95-179","BXD95","5-BXD95-179","13.02.2020",5,"10.12.2019","mardi, 10 mars 2020","05.03.2020","03.03.2020","23.03.2020",13,"SD","179","BXD95_SD"
"5-C57Bl6-180","C57Bl6","5-C57Bl6-180","13.02.2020",5,"17.12.2019","lundi, 9 mars 2020","05.03.2020","10.03.2020","30.03.2020",11.85714286,"CTRL","180","C57Bl6_CTRL"
"5-C57Bl6-181","C57Bl6","5-C57Bl6-181","13.02.2020",5,"17.12.2019","mardi, 10 mars 2020","05.03.2020","10.03.2020","30.03.2020",12,"SD","181","C57Bl6_SD"
"5-DBA-182","DBA","5-DBA-182","13.02.2020",5,"17.12.2019","lundi, 9 mars 2020","05.03.2020","10.03.2020","30.03.2020",11.85714286,"CTRL","182","DBA_CTRL"
"5-DBA-183","DBA","5-DBA-183","13.02.2020",5,"17.12.2019","mardi, 10 mars 2020","05.03.2020","10.03.2020","30.03.2020",12,"SD","183","DBA_SD"
"6-BXD43-184","BXD43","6-BXD43-184","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","184","BXD43_CTRL"
"6-BXD43-185","BXD43","6-BXD43-185","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","185","BXD43_SD"
"6-BXD50-186","BXD50","6-BXD50-186","05.03.2020",6,"31.12.2019","lundi, 30 mars 2020","26.03.2020","24.03.2020","13.04.2020",12.85714286,"CTRL","186","BXD50_CTRL"
"6-BXD50-187","BXD50","6-BXD50-187","05.03.2020",6,"31.12.2019","mardi, 31 mars 2020","26.03.2020","24.03.2020","13.04.2020",13,"SD","187","BXD50_SD"
"6-BXD65-188","BXD65","6-BXD65-188","05.03.2020",6,"07.01.2020","lundi, 30 mars 2020","26.03.2020","31.03.2020","20.04.2020",11.85714286,"CTRL","188","BXD65_CTRL"
"6-BXD65-189","BXD65","6-BXD65-189","05.03.2020",6,"07.01.2020","mardi, 31 mars 2020","26.03.2020","31.03.2020","20.04.2020",12,"SD","189","BXD65_SD"
"6-BXD65a-190","65a","6-BXD65a-190","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","190","65a_CTRL"
"6-BXD98-192","BXD98","6-BXD98-192","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","192","BXD98_CTRL"
"6-BXD98-193","BXD98","6-BXD98-193","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","193","BXD98_SD"
"6-BXD98-194","BXD98","6-BXD98-194","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","194","BXD98_CTRL"
"6-BXD98-195","BXD98","6-BXD98-195","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","195","BXD98_SD"
"6-BXD100-196","BXD100","6-BXD100-196","05.03.2020",6,"07.01.2020","lundi, 30 mars 2020","26.03.2020","31.03.2020","20.04.2020",11.85714286,"CTRL","196","BXD100_CTRL"
"6-BXD100-197","BXD100","6-BXD100-197","05.03.2020",6,"07.01.2020","mardi, 31 mars 2020","26.03.2020","31.03.2020","20.04.2020",12,"SD","197","BXD100_SD"
"6-BXD73b-198","73b","6-BXD73b-198","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","198","73b_CTRL"
"6-BXD73b-199","73b","6-BXD73b-199","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","199","73b_SD"
"6-C57Bl6-200","C57Bl6","6-C57Bl6-200","05.03.2020",6,"07.01.2020","mercredi, 8 avril 2020","26.03.2020","31.03.2020","20.04.2020",13.14285714,"CTRL","200","C57Bl6_CTRL"
"6-C57Bl6-201","C57Bl6","6-C57Bl6-201","05.03.2020",6,"07.01.2020","jeudi, 9 avril 2020","26.03.2020","31.03.2020","20.04.2020",13.28571429,"SD","201","C57Bl6_SD"
"6-DBA-202","DBA","6-DBA-202","05.03.2020",6,"07.01.2020","mercredi, 8 avril 2020","26.03.2020","31.03.2020","20.04.2020",13.14285714,"CTRL","202","DBA_CTRL"
"6-DBA-203","DBA","6-DBA-203","05.03.2020",6,"07.01.2020","jeudi, 9 avril 2020","26.03.2020","31.03.2020","20.04.2020",13.28571429,"SD","203","DBA_SD"
"6-BXD44-204","BXD44","6-BXD44-204","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","204","BXD44_CTRL"
"6-BXD44-205","BXD44","6-BXD44-205","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","205","BXD44_SD"
"6-BXD44-206","BXD44","6-BXD44-206","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","206","BXD44_CTRL"
"6-BXD44-207","BXD44","6-BXD44-207","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","207","BXD44_SD"
"6-BXD44-208","BXD44","6-BXD44-208","05.03.2020",6,"14.01.2020","mercredi, 8 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.14285714,"CTRL","208","BXD44_CTRL"
"6-BXD44-209","BXD44","6-BXD44-209","05.03.2020",6,"14.01.2020","jeudi, 9 avril 2020","26.03.2020","07.04.2020","27.04.2020",12.28571429,"SD","209","BXD44_SD"
"6-BXD79-210","BXD79","6-BXD79-210","05.03.2020",6,"10.12.2019","lundi, 23 mars 2020","26.03.2020","03.03.2020","23.03.2020",14.85714286,"CTRL","210","BXD79_CTRL"
"6-BXD79-211","BXD79","6-BXD79-211","05.03.2020",6,"10.12.2019","mardi, 24 mars 2020","26.03.2020","03.03.2020","23.03.2020",15,"SD","211","BXD79_SD"
"7-BXD79-212","BXD79","7-BXD79-212","25.06.2020",7,"11.05.2020","lundi, 3 août 2020","16.07.2020","03.08.2020","23.08.2020",12,"CTRL","212","BXD79_CTRL"
"7-BXD79-213","BXD79","7-BXD79-213","25.06.2020",7,"11.05.2020","mardi, 4 août 2020","16.07.2020","03.08.2020","23.08.2020",12.14285714,"SD","213","BXD79_SD"
"7-BXD65a-214","65a","7-BXD65a-214","25.06.2020",7,"07.04.2020","lundi, 13 juillet 2020","16.07.2020","30.06.2020","20.07.2020",13.85714286,"CTRL","214","65a_CTRL"
"7-BXD65a-215","65a","7-BXD65a-215","25.06.2020",7,"07.04.2020","mardi, 14 juillet 2020","16.07.2020","30.06.2020","20.07.2020",14,"SD","215","65a_SD"
"7-C57Bl6-216","C57Bl6","7-C57Bl6-216","25.06.2020",7,"28.04.2020","lundi, 3 août 2020","16.07.2020","21.07.2020","10.08.2020",13.85714286,"CTRL","216","C57Bl6_CTRL"
"7-C57Bl6-217","C57Bl6","7-C57Bl6-217","25.06.2020",7,"28.04.2020","mardi, 4 août 2020","16.07.2020","21.07.2020","10.08.2020",14,"SD","217","C57Bl6_SD"
"7-DBA-218","DBA","7-DBA-218","25.06.2020",7,"28.04.2020","lundi, 3 août 2020","16.07.2020","21.07.2020","10.08.2020",13.85714286,"CTRL","218","DBA_CTRL"
"7-DBA-219","DBA","7-DBA-219","25.06.2020",7,"28.04.2020","mardi, 4 août 2020","16.07.2020","21.07.2020","10.08.2020",14,"SD","219","DBA_SD"
"7-BXD71-220","BXD71","7-BXD71-220","25.06.2020",7,"14.04.2020","lundi, 13 juillet 2020","16.07.2020","07.07.2020","27.07.2020",12.85714286,"CTRL","220","BXD71_CTRL"
"7-BXD71-221","BXD71","7-BXD71-221","25.06.2020",7,"14.04.2020","mardi, 14 juillet 2020","16.07.2020","07.07.2020","27.07.2020",13,"SD","221","BXD71_SD"
"8-BXD101-222","BXD101","8-BXD101-222","03.09.2020",8,"28.07.2020","lundi, 19 octobre 2020","24.09.2020","20.10.2020","09.11.2020",11.85714286,"CTRL","222","BXD101_CTRL"
"8-BXD101-223","BXD101","8-BXD101-223","03.09.2020",8,"28.07.2020","mardi, 20 octobre 2020","24.09.2020","20.10.2020","09.11.2020",12,"SD","223","BXD101_SD"
"8-BXD71-224","BXD71","8-BXD71-224","03.09.2020",8,"21.07.2020","lundi, 19 octobre 2020","24.09.2020","13.10.2020","02.11.2020",12.85714286,"CTRL","224","BXD71_CTRL"
"8-BXD71-225","BXD71","8-BXD71-225","03.09.2020",8,"21.07.2020","mardi, 20 octobre 2020","24.09.2020","13.10.2020","02.11.2020",13,"SD","225","BXD71_SD"
"8-C57Bl6-226","C57Bl6","8-C57Bl6-226","03.09.2020",8,"07.07.2020","lundi, 19 octobre 2020","24.09.2020","29.09.2020","19.10.2020",14.85714286,"CTRL","226","C57Bl6_CTRL"
"8-C57Bl6-227","C57Bl6","8-C57Bl6-227","03.09.2020",8,"07.07.2020","mardi, 20 octobre 2020","24.09.2020","29.09.2020","19.10.2020",15,"SD","227","C57Bl6_SD"
"8-DBA-228","DBA","8-DBA-228","03.09.2020",8,"07.07.2020","lundi, 19 octobre 2020","24.09.2020","29.09.2020","19.10.2020",14.85714286,"CTRL","228","DBA_CTRL"
"8-DBA-229","DBA","8-DBA-229","03.09.2020",8,"07.07.2020","mardi, 20 octobre 2020","24.09.2020","29.09.2020","19.10.2020",15,"SD","229","DBA_SD"
