"","Strain","Mice_ID","Delivery_Date","Shipment","Birth_date","Experiment_date","3_Weeks_lag","Age_min_sd","Age_max_sd","Age","Treatment","Sample","Group"
"1-BXD101-32","BXD101","1-BXD101-32","05.12.2019",1,"20.09.2019","jeudi, 26 décembre 2019","26.12.2019","13.12.2019","02.01.2020",13.85714286,"CTRL","032","BXD101_CTRL"
"1-C57Bl6-33","C57Bl6","1-C57Bl6-33","05.12.2019",1,"08.10.2019","mardi, 7 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13,"SD","033","C57Bl6_SD"
"1-C57Bl6-34","C57Bl6","1-C57Bl6-34","05.12.2019",1,"08.10.2019","lundi, 6 janvier 2020","26.12.2019","31.12.2019","20.01.2020",12.85714286,"CTRL","034","C57Bl6_CTRL"
"1-DBA-35","DBA","1-DBA-35","05.12.2019",1,"08.10.2019","mardi, 7 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13,"SD","035","DBA_SD"
"1-DBA-36","DBA","1-DBA-36","05.12.2019",1,"08.10.2019","lundi, 6 janvier 2020","26.12.2019","31.12.2019","20.01.2020",12.85714286,"CTRL","036","DBA_CTRL"
"2-BXD48-37","BXD48","2-BXD48-37","12.12.2019",2,"22.10.2019","mardi, 28 janvier 2020","02.01.2020","14.01.2020","03.02.2020",14,"SD","037","BXD48_SD"
"2-BXD48-38","BXD48","2-BXD48-38","12.12.2019",2,"22.10.2019","lundi, 27 janvier 2020","02.01.2020","14.01.2020","03.02.2020",13.85714286,"CTRL","038","BXD48_CTRL"
"2-BXD49-39","BXD49","2-BXD49-39","12.12.2019",2,"15.10.2019","mardi, 14 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13,"SD","039","BXD49_SD"
"2-BXD49-40","BXD49","2-BXD49-40","12.12.2019",2,"15.10.2019","lundi, 13 janvier 2020","02.01.2020","07.01.2020","27.01.2020",12.85714286,"CTRL","040","BXD49_CTRL"
"2-BXD50-41","BXD50","2-BXD50-41","12.12.2019",2,"22.10.2019","mardi, 28 janvier 2020","02.01.2020","14.01.2020","03.02.2020",14,"SD","041","BXD50_SD"
"2-BXD50-42","BXD50","2-BXD50-42","12.12.2019",2,"22.10.2019","lundi, 27 janvier 2020","02.01.2020","14.01.2020","03.02.2020",13.85714286,"CTRL","042","BXD50_CTRL"
"2-BXD51-43","BXD51","2-BXD51-43","12.12.2019",2,"01.10.2019","mardi, 7 janvier 2020","02.01.2020","24.12.2019","13.01.2020",14,"SD","043","BXD51_SD"
"2-BXD51-44","BXD51","2-BXD51-44","12.12.2019",2,"01.10.2019","lundi, 6 janvier 2020","02.01.2020","24.12.2019","13.01.2020",13.85714286,"CTRL","044","BXD51_CTRL"
"2-BXD56-45","BXD56","2-BXD56-45","12.12.2019",2,"15.10.2019","mardi, 14 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13,"SD","045","BXD56_SD"
"2-BXD56-46","BXD56","2-BXD56-46","12.12.2019",2,"15.10.2019","lundi, 13 janvier 2020","02.01.2020","07.01.2020","27.01.2020",12.85714286,"CTRL","046","BXD56_CTRL"
"2-BXD64-47","BXD64","2-BXD64-47","12.12.2019",2,"22.10.2019","mardi, 28 janvier 2020","02.01.2020","14.01.2020","03.02.2020",14,"SD","047","BXD64_SD"
"2-BXD64-48","BXD64","2-BXD64-48","12.12.2019",2,"22.10.2019","lundi, 27 janvier 2020","02.01.2020","14.01.2020","03.02.2020",13.85714286,"CTRL","048","BXD64_CTRL"
"2-BXD65-49","BXD65","2-BXD65-49","12.12.2019",2,"29.10.2019","mardi, 28 janvier 2020","02.01.2020","21.01.2020","10.02.2020",13,"SD","049","BXD65_SD"
"2-BXD65-50","BXD65","2-BXD65-50","12.12.2019",2,"29.10.2019","lundi, 27 janvier 2020","02.01.2020","21.01.2020","10.02.2020",12.85714286,"CTRL","050","BXD65_CTRL"
"2-BXD66-51","BXD66","2-BXD66-51","12.12.2019",2,"08.10.2019","mardi, 7 janvier 2020","02.01.2020","31.12.2019","20.01.2020",13,"SD","051","BXD66_SD"
"2-BXD66-52","BXD66","2-BXD66-52","12.12.2019",2,"08.10.2019","lundi, 6 janvier 2020","02.01.2020","31.12.2019","20.01.2020",12.85714286,"CTRL","052","BXD66_CTRL"
"2-BXD71-53","BXD71","2-BXD71-53","12.12.2019",2,"15.10.2019","mardi, 14 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13,"SD","053","BXD71_SD"
"2-BXD71-54","BXD71","2-BXD71-54","12.12.2019",2,"15.10.2019","lundi, 13 janvier 2020","02.01.2020","07.01.2020","27.01.2020",12.85714286,"CTRL","054","BXD71_CTRL"
"2-BXD73-55","BXD73","2-BXD73-55","12.12.2019",2,"15.10.2019","mardi, 21 janvier 2020","02.01.2020","07.01.2020","27.01.2020",14,"SD","055","BXD73_SD"
"2-BXD73-56","BXD73","2-BXD73-56","12.12.2019",2,"15.10.2019","lundi, 20 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13.85714286,"CTRL","056","BXD73_CTRL"
"2-BXD75-57","BXD75","2-BXD75-57","12.12.2019",2,"15.10.2019","mardi, 21 janvier 2020","02.01.2020","07.01.2020","27.01.2020",14,"SD","057","BXD75_SD"
"2-BXD75-58","BXD75","2-BXD75-58","12.12.2019",2,"15.10.2019","lundi, 20 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13.85714286,"CTRL","058","BXD75_CTRL"
"2-BXD81-59","BXD81","2-BXD81-59","12.12.2019",2,"15.10.2019","mardi, 21 janvier 2020","02.01.2020","07.01.2020","27.01.2020",14,"SD","059","BXD81_SD"
